benchmark,run,result
quadratic,baseline,785
quadratic,myopt,412
primes-between,baseline,574100
primes-between,myopt,574100
orders,baseline,5352
orders,myopt,5352
relative-primes,baseline,1923
relative-primes,myopt,missing
check-primes,baseline,8468
check-primes,myopt,missing
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,missing
fact,baseline,229
fact,myopt,229
loopfact,baseline,116
loopfact,myopt,116
recfact,baseline,104
recfact,myopt,missing
factors,baseline,72
factors,myopt,72
perfect,baseline,232
perfect,myopt,incorrect
digital-root,baseline,247
digital-root,myopt,timeout
up-arrow,baseline,252
up-arrow,myopt,252
sum-divisors,baseline,159
sum-divisors,myopt,159
ackermann,baseline,1636464
ackermann,myopt,1636464
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,61518
euclid,baseline,563
euclid,myopt,missing
binary-fmt,baseline,100
binary-fmt,myopt,100
gcd,baseline,46
gcd,myopt,46
catalan,baseline,659378
catalan,myopt,659378
armstrong,baseline,133
armstrong,myopt,133
pascals-row,baseline,146
pascals-row,myopt,missing
collatz,baseline,169
collatz,myopt,incorrect
sum-bits,baseline,73
sum-bits,myopt,73
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,14
fizz-buzz,baseline,3652
fizz-buzz,myopt,3652
bitwise-ops,baseline,1690
bitwise-ops,myopt,1690
