benchmark,run,result
quadratic,baseline,785
quadratic,myopt,783
primes-between,baseline,574100
primes-between,myopt,574100
orders,baseline,5352
orders,myopt,5352
relative-primes,baseline,1923
relative-primes,myopt,1914
check-primes,baseline,8468
check-primes,myopt,8419
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,3036
fact,baseline,229
fact,myopt,228
loopfact,baseline,116
loopfact,myopt,115
recfact,baseline,104
recfact,myopt,103
factors,baseline,72
factors,myopt,72
perfect,baseline,232
perfect,myopt,232
digital-root,baseline,247
digital-root,myopt,247
up-arrow,baseline,252
up-arrow,myopt,252
sum-divisors,baseline,159
sum-divisors,myopt,159
ackermann,baseline,1636464
ackermann,myopt,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,61518
euclid,baseline,563
euclid,myopt,562
binary-fmt,baseline,100
binary-fmt,myopt,100
gcd,baseline,46
gcd,myopt,46
catalan,baseline,659378
catalan,myopt,659378
armstrong,baseline,133
armstrong,myopt,130
pascals-row,baseline,146
pascals-row,myopt,139
collatz,baseline,169
collatz,myopt,169
sum-bits,baseline,73
sum-bits,myopt,73
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,14
fizz-buzz,baseline,3652
fizz-buzz,myopt,3552
bitwise-ops,baseline,1690
bitwise-ops,myopt,1689
